2022-06-19 07:17:38.430134 :: target_cam_pos: (99, 12), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.459626 :: target_cam_pos: (101, 19), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.494570 :: target_cam_pos: (103, 25), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.536919 :: target_cam_pos: (105, 32), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.552654 :: target_cam_pos: (107, 41), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.571086 :: target_cam_pos: (109, 53), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.602513 :: target_cam_pos: (110, 66), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.651660 :: target_cam_pos: (112, 80), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.680651 :: target_cam_pos: (114, 93), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.707727 :: target_cam_pos: (116, 106), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.741655 :: target_cam_pos: (118, 118), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.759189 :: target_cam_pos: (118, 120), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.784191 :: target_cam_pos: (120, 133), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.819071 :: target_cam_pos: (122, 147), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.845812 :: target_cam_pos: (123, 158), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.893825 :: target_cam_pos: (125, 169), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.926227 :: target_cam_pos: (126, 181), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.958939 :: target_cam_pos: (128, 193), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:17:38.988921 :: target_cam_pos: (130, 206), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.165161,alt=598.98, target_gps_pos: (-35.363645, 149.165161)
2022-06-19 07:20:37.881812 :: target_cam_pos: (491, 2), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:37.918661 :: target_cam_pos: (489, 8), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:37.948436 :: target_cam_pos: (487, 14), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:37.985193 :: target_cam_pos: (485, 23), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.018175 :: target_cam_pos: (483, 30), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.049108 :: target_cam_pos: (482, 40), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.081985 :: target_cam_pos: (480, 55), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.111514 :: target_cam_pos: (478, 69), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.145237 :: target_cam_pos: (477, 84), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.185789 :: target_cam_pos: (476, 98), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.210561 :: target_cam_pos: (474, 111), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.225994 :: target_cam_pos: (474, 111), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.250378 :: target_cam_pos: (473, 126), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.286692 :: target_cam_pos: (472, 140), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.336087 :: target_cam_pos: (471, 152), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.366018 :: target_cam_pos: (470, 164), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.387119 :: target_cam_pos: (470, 177), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.417862 :: target_cam_pos: (469, 190), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.446836 :: target_cam_pos: (469, 203), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:20:38.489163 :: target_cam_pos: (467, 214), iha_gps_pos: LocationGlobalRelative:lat=-35.3628812,lon=149.1651611,alt=598.99, target_gps_pos: (563.6271188000001, 149.1651611)
2022-06-19 07:30:36.612437 :: target_cam_pos: (102, 4), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:36.645038 :: target_cam_pos: (104, 10), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:36.677192 :: target_cam_pos: (106, 16), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:36.715062 :: target_cam_pos: (108, 23), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:36.740062 :: target_cam_pos: (110, 30), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
